"Date","Overseas","Known Local","Unknown Local (Community)","Interstate travel","Under investigation"
"28/03/2020","477","87","22","0","39"
"29/03/2020","477","87","22","0","39"
"30/03/2020","548","97","20","3","21"
"31/03/2020","599","107","27","5","5"
"01/04/2020","617","115","27","7","15"
"02/04/2020","654","125","30","9","17"
"03/04/2020","669","124","31","11","38"
"04/04/2020","707","136","31","12","15"
"05/04/2020","707","140","32","12","16"
"06/04/2020","724","149","33","13","2"
"07/04/2020","724","149","33","13","15"
"08/04/2020","724","149","33","13","24"
"09/04/2020","737","151","32","12","21"
"10/04/2020","744","153","33","12","23"
"11/04/2020","745","154","36","13","26"
"12/04/2020","748","156","39","14","26"
"13/04/2020","752","155","39","13","28"
"14/04/2020","756","155","38","15","34"
"15/04/2020","761","160","39","18","21"
"16/04/2020","761","160","39","18","23"
"17/04/2020","769","171","36","17","14"
"18/04/2020","774","168","36","16","20"
"19/04/2020","778","169","40","15","17"
"20/04/2020","784","169","41","17","8"
"21/04/2020","785","169","41","17","12"
"22/04/2020","785","170","42","17","10"
"23/04/2020","788","171","41","17","9"
"24/04/2020","793","171","41","18","3"
"25/04/2020","793","171","41","18","3"
"26/04/2020","794","172","43","18","3"
"27/04/2020","795","172","43","18","5"
"28/04/2020","798","173","42","18","2"
"29/04/2020","798","173","42","18","3"
"30/04/2020","799","173","43","18","0"
"01/05/2020","799","173","43","18","0"
"02/05/2020","799","173","43","18","1"
"03/05/2020","798","174","43","18","2"
"04/05/2020","799","174","44","18","3"
"05/05/2020","799","174","44","18","8"
"06/05/2020","799","174","45","18","7"
"07/05/2020","801","174","45","18","7"
"08/05/2020","802","174","45","18","6"
"09/05/2020","802","174","45","18","6"
"10/05/2020","802","173","44","18","8"
"11/05/2020","802","173","44","18","8"
"12/05/2020","808","172","44","18","9"
"13/05/2020","812","174","44","18","3"
"14/05/2020","814","175","43","18","2"
"15/05/2020","814","175","43","18","4"
"16/05/2020","817","176","42","18","2"
"17/05/2020","818","176","42","18","1"
"18/05/2020","818","176","42","18","3"
"19/05/2020","821","175","42","18","1"
"20/05/2020","821","176","41","18","2"
"21/05/2020","821","176","41","18","2"
"22/05/2020","821","176","41","18","2"
"23/05/2020","821","176","41","18","3"
"24/05/2020","823","176","41","18","3"
"25/05/2020","819","176","41","18","2"
"26/05/2020","819","176","41","18","3"
"27/05/2020","819","176","41","18","4"
"28/05/2020","819","176","41","18","4"
"29/05/2020","819","176","41","18","4"
"30/05/2020","819","176","41","18","4"
"31/05/2020","819","176","41","18","4"
"01/06/2020","819","176","41","18","4"
"02/06/2020","821","176","41","18","3"
"03/06/2020","822","176","41","18","2"
"04/06/2020","823","176","43","18","0"
"05/06/2020","823","178","42","17","0"
"06/06/2020","823","179","42","17","0"
"07/06/2020","823","180","42","17","0"
"08/06/2020","824","179","42","17","0"
"09/06/2020","824","179","42","17","0"
"10/06/2020","824","179","42","17","0"
"11/06/2020","825","179","42","17","0"
"12/06/2020","825","179","42","17","1"
"13/06/2020","825","179","42","17","2"
"14/06/2020","825","180","42","17","1"
"15/06/2020","825","180","42","17","1"
"16/06/2020","826","180","42","17","0"
"17/06/2020","827","180","42","17","0"
"18/06/2020","827","180","42","17","0"
"19/06/2020","827","180","42","17","0"
"20/06/2020","827","180","42","17","0"
"21/06/2020","827","181","41","17","0"
"22/06/2020","827","181","41","17","0"
"23/06/2020","827","181","41","17","0"
"24/06/2020","827","181","41","17","0"
"25/06/2020","827","181","41","17","0"
"26/06/2020","828","181","41","17","0"
"27/06/2020","828","181","41","17","0"
"28/06/2020","829","180","41","17","0"
"29/06/2020","829","180","41","17","0"
"30/06/2020","829","180","41","17","0"
"01/07/2020","829","180","41","17","0"
"02/07/2020","829","180","41","17","0"
"03/07/2020","829","180","41","17","0"
"04/07/2020","829","180","41","17","0"
"05/07/2020","829","180","41","17","0"
"06/07/2020","829","180","41","17","0"
"07/07/2020","830","179","41","18","0"
"08/07/2020","830","179","41","18","0"
"09/07/2020","830","179","41","18","0"
"10/07/2020","830","179","41","18","0"
"11/07/2020","832","179","41","18","0"
"12/07/2020","832","179","41","18","0"
"13/07/2020","833","179","41","18","0"
"14/07/2020","833","179","41","18","0"
"15/07/2020","833","179","41","18","0"
"16/07/2020","833","179","41","18","0"
"17/07/2020","833","179","41","18","0"
"18/07/2020","833","179","41","18","0"
"19/07/2020","833","179","41","18","0"
"20/07/2020","834","179","41","18","0"
"21/07/2020","834","179","41","18","0"
"22/07/2020","835","179","41","18","0"
"23/07/2020","836","179","41","18","0"
"24/07/2020","838","179","41","18","0"
"25/07/2020","838","180","40","18","0"
"26/07/2020","838","180","40","18","0"
"27/07/2020","838","180","40","18","0"
"28/07/2020","838","180","40","18","0"
"29/07/2020","838","181","40","20","0"
"30/07/2020","839","183","40","20","0"
"31/07/2020","839","183","40","20","0"
"01/08/2020","839","185","40","20","0"
"02/08/2020","840","185","40","20","0"
"03/08/2020","840","185","40","20","0"
"04/08/2020","840","185","40","20","0"
"05/08/2020","841","185","40","21","1"
"06/08/2020","841","185","40","21","1"
"07/08/2020","842","185","40","21","0"
"08/08/2020","842","185","40","21","0"
"09/08/2020","842","185","40","21","0"
"10/08/2020","843","185","40","21","0"
"11/08/2020","843","185","40","21","0"
"12/08/2020","843","185","40","21","0"
"13/08/2020","843","185","40","21","0"
"14/08/2020","845","185","40","21","1"
"15/08/2020","845","185","40","21","0"
"16/08/2020","845","185","40","21","0"
"17/08/2020","845","185","40","21","0"
"18/08/2020","845","185","40","21","0"
"19/08/2020","846","185","40","21","0"
"20/08/2020","846","185","40","21","1"
"21/08/2020","846","186","40","21","1"
"22/08/2020","849","192","40","21","1"
"23/08/2020","849","194","40","21","1"
"24/08/2020","849","195","40","21","1"
"25/08/2020","849","195","40","21","1"
"26/08/2020","850","196","40","21","1"
"27/08/2020","851","196","40","21","2"
"28/08/2020","851","196","40","21","5"
"29/08/2020","851","203","40","21","2"
"30/08/2020","851","207","40","21","2"
"31/08/2020","851","208","40","21","2"
"01/09/2020","851","208","42","21","2"
"02/09/2020","851","212","42","21","0"
"03/09/2020","851","212","42","21","2"
"04/09/2020","851","212","42","21","2"
"05/09/2020","851","214","42","21","1"
"06/09/2020","851","217","42","21","0"
"07/09/2020","851","219","42","21","0"
"08/09/2020","852","219","42","21","0"
"09/09/2020","852","228","42","21","0"
"10/09/2020","852","228","42","21","0"
"11/09/2020","852","230","42","21","0"
"12/09/2020","852","233","43","21","0"
"13/09/2020","852","233","43","21","0"
"14/09/2020","852","234","42","21","0"
"15/09/2020","852","234","42","21","0"
"16/09/2020","852","234","42","21","0"
"17/09/2020","852","235","42","21","0"
"18/09/2020","852","235","42","21","0"
"19/09/2020","852","235","42","21","0"
"20/09/2020","853","236","42","21","0"
"21/09/2020","854","236","42","21","0"
"22/09/2020","854","236","42","21","0"
"23/09/2020","854","236","42","21","0"
"24/09/2020","854","236","42","21","0"
"25/09/2020","854","237","41","21","0"
"26/09/2020","857","237","41","21","0"
"27/09/2020","858","237","41","21","0"
"28/09/2020","858","237","41","21","0"
"29/09/2020","858","237","41","21","0"
"30/09/2020","858","237","41","21","0"
"01/10/2020","858","237","41","21","0"
"02/10/2020","860","238","41","21","0"
"03/10/2020","860","238","41","21","0"
"04/10/2020","860","238","41","21","0"
"05/10/2020","860","238","41","21","0"
"06/10/2020","860","238","41","21","0"
"07/10/2020","860","238","41","21","0"
"08/10/2020","860","238","41","21","0"
"09/10/2020","860","238","41","21","0"
"10/10/2020","861","238","41","21","0"
"11/10/2020","861","238","41","21","0"
"12/10/2020","861","238","41","21","0"
"13/10/2020","861","238","41","21","0"
"14/10/2020","861","238","41","21","0"
"15/10/2020","862","238","41","21","0"
"16/10/2020","864","238","41","21","0"
"17/10/2020","864","238","41","21","0"
"18/10/2020","864","238","41","21","0"
"19/10/2020","864","238","41","21","0"
"20/10/2020","864","238","41","21","0"
"21/10/2020","865","238","41","21","0"
"22/10/2020","865","238","41","21","0"
"23/10/2020","867","238","41","21","0"
"24/10/2020","867","238","41","21","0"
"25/10/2020","867","238","41","21","0"
"26/10/2020","867","238","41","21","0"
"27/10/2020","867","238","41","21","0"
"28/10/2020","867","238","41","21","2"
"29/10/2020","869","238","41","23","0"
"30/10/2020","868","238","41","23","0"
"31/10/2020","869","238","41","23","0"
"01/11/2020","870","238","41","23","0"
"02/11/2020","870","238","41","23","0"
"03/11/2020","873","238","41","23","0"
"04/11/2020","875","238","41","23","0"
"05/11/2020","875","238","41","23","0"
"06/11/2020","875","238","41","23","0"
"07/11/2020","875","238","41","23","0"
"08/11/2020","875","238","41","23","0"
"09/11/2020","875","238","41","23","0"
"10/11/2020","876","238","41","23","0"
"11/11/2020","877","238","41","23","0"
"12/11/2020","880","238","41","23","0"
"13/11/2020","881","238","41","23","0"
"14/11/2020","883","238","41","23","0"
"15/11/2020","883","238","41","23","0"
"16/11/2020","883","238","41","23","0"
"17/11/2020","884","238","41","23","0"
"18/11/2020","884","239","41","23","0"
"19/11/2020","887","239","41","23","0"
"20/11/2020","887","239","41","23","0"
"21/11/2020","889","239","41","23","0"
"22/11/2020","890","239","41","23","0"
"23/11/2020","893","239","41","23","0"
"24/11/2020","894","239","41","23","0"
"25/11/2020","894","239","41","23","0"
"26/11/2020","894","239","41","23","0"
"27/11/2020","895","239","41","23","0"
"28/11/2020","896","239","41","23","0"
"29/11/2020","897","240","41","23","0"
"30/11/2020","897","240","41","23","1"
"01/12/2020","897","240","41","23","1"
"02/12/2020","900","240","41","23","1"
"03/12/2020","901","240","41","23","1"
"04/12/2020","904","240","41","23","0"
"05/12/2020","906","240","41","23","0"
"06/12/2020","908","240","41","23","0"
"07/12/2020","911","240","41","23","0"
"08/12/2020","917","240","41","23","0"
"09/12/2020","917","240","41","23","0"
"10/12/2020","920","240","41","23","0"
"11/12/2020","921","240","41","23","0"
"12/12/2020","922","240","41","23","0"
"13/12/2020","922","240","41","23","0"
"14/12/2020","923","240","41","23","0"
"15/12/2020","924","240","41","23","0"
"16/12/2020","927","238","41","23","0"
"17/12/2020","928","238","41","23","0"
"18/12/2020","930","239","41","23","0"
"19/12/2020","930","238","41","23","0"
"20/12/2020","932","238","41","23","0"
"21/12/2020","933","238","41","23","0"
"22/12/2020","933","238","41","23","0"
"23/12/2020","934","238","41","23","0"
"24/12/2020","935","239","41","23","0"
"25/12/2020","937","239","41","23","0"
"26/12/2020","938","239","41","23","0"
"27/12/2020","938","239","41","23","0"
"28/12/2020","943","239","41","23","0"
"29/12/2020","945","239","41","23","0"
"30/12/2020","947","239","41","23","0"
"31/12/2020","950","239","41","23","0"
"01/01/2021","950","239","41","23","0"
"02/01/2021","952","239","41","23","0"
"03/01/2021","953","238","41","23","0"
"04/01/2021","958","238","41","23","0"
"05/01/2021","960","238","41","23","0"
"06/01/2021","961","238","41","23","0"
"07/01/2021","962","238","41","23","1"
"08/01/2021","971","239","41","23","0"
"09/01/2021","971","239","41","23","0"
"10/01/2021","971","239","41","23","0"
"11/01/2021","975","239","41","23","0"
"12/01/2021","977","240","41","23","0"
"13/01/2021","979","240","41","23","0"
"14/01/2021","981","242","41","23","0"
"15/01/2021","983","242","41","23","1"
"16/01/2021","984","242","41","23","1"
"17/01/2021","986","242","41","23","1"
"18/01/2021","987","242","41","23","1"
"19/01/2021","990","242","41","23","1"
"20/01/2021","992","242","41","23","1"
"21/01/2021","993","242","41","23","1"
"22/01/2021","996","242","41","23","1"
"23/01/2021","997","242","41","23","0"
"24/01/2021","997","242","41","23","0"
"25/01/2021","999","242","41","23","0"
"26/01/2021","999","242","41","23","0"
"27/01/2021","1,000","242","41","23","0"
"28/01/2021","1,001","242","41","23","0"
"29/01/2021","1,003","242","41","23","0"
"30/01/2021","1,003","242","41","23","0"
"31/01/2021","1,004","242","41","23","0"
"01/02/2021","1,004","242","41","23","0"
"02/02/2021","1,005","242","41","23","0"
"03/02/2021","1,005","242","41","23","0"
"04/02/2021","1,005","242","41","23","0"
"05/02/2021","1,003","242","41","23","0"
"06/02/2021","1,004","243","41","23","0"
"07/02/2021","1,005","243","41","23","0"
"08/02/2021","1,007","243","41","23","0"
"09/02/2021","1,008","243","41","23","0"
"10/02/2021","1,009","243","41","23","0"
"11/02/2021","1,010","243","41","23","0"
"12/02/2021","1,011","243","41","23","0"
"13/02/2021","1,013","243","41","23","0"
"14/02/2021","1,013","243","41","23","0"
"15/02/2021","1,013","243","41","23","0"
"16/02/2021","1,013","243","41","23","0"
"17/02/2021","1,013","243","41","23","0"
"18/02/2021","1,013","243","41","23","0"
"19/02/2021","1,014","243","41","23","0"
"20/02/2021","1,014","243","41","23","0"
"21/02/2021","1,014","243","41","23","0"
"22/02/2021","1,016","243","41","23","0"
"23/02/2021","1,016","243","41","23","0"
"24/02/2021","1,016","243","41","23","0"
"25/02/2021","1,017","243","41","23","0"
"26/02/2021","1,021","243","41","23","0"
"27/02/2021","1,022","243","41","23","0"
"28/02/2021","1,022","243","41","23","0"
"01/03/2021","1,024","243","41","23","0"
"02/03/2021","1,028","243","41","23","0"
"03/03/2021","1,028","243","41","23","0"
"04/03/2021","1,035","243","41","23","0"
"05/03/2021","1,037","243","41","23","0"
"06/03/2021","1,041","243","41","23","0"
"07/03/2021","1,044","243","41","23","0"
"08/03/2021","1,049","243","41","23","0"
"09/03/2021","1,055","243","41","23","0"
"10/03/2021","1,061","243","41","23","0"
"11/03/2021","1,066","243","41","23","0"
"12/03/2021","1,068","243","41","23","0"
"13/03/2021","1,071","244","41","23","0"
"14/03/2021","1,072","244","41","23","0"
"15/03/2021","1,078","244","41","23","0"
"16/03/2021","1,079","245","41","23","0"
"17/03/2021","1,085","245","41","23","0"
"18/03/2021","1,093","245","41","23","0"
"19/03/2021","1,102","245","41","23","0"
"20/03/2021","1,106","245","41","23","0"
"21/03/2021","1,108","245","41","23","0"
"22/03/2021","1,112","245","41","23","0"
"23/03/2021","1,113","245","41","23","0"
"24/03/2021","1,117","245","41","23","0"
"25/03/2021","1,120","245","41","23","0"
"26/03/2021","1,127","245","42","23","0"
"27/03/2021","1,132","246","42","23","0"
"28/03/2021","1,134","246","42","23","1"
"29/03/2021","1,140","248","44","23","1"
"30/03/2021","1,142","254","44","23","3"